Text,Sentiment,word_count,char_count,clean_text,pred_label_GPT,pred_label_RoBERTa
NFX no stopping. Next stop 160+. If it goes to 130 in the near future then going all in.,1,19,88,nfx stopping next stop go near future going,1,0
AAP 465 is resistance and heading to 435 in the near term.,0,12,58,aap resistance heading near term,0,1
user 415/425 by end of wk imho AAP,0,8,34,user end imho aap,1,0
ATHX doesn't like 1.35 but I do staying long for a wk or two,1,14,60,athx like staying long two,1,1
"Out of aapl long from 2009.  Still up 10%, but what a learning experience this stock has been.  study",0,19,101,aapl long still learning experience stock study,0,1
EBAY early morning bounce holding support + 10-day MA  ,1,9,55,ebay early morning bounce holding support day,1,1
WNC bounce from 20-day and about 8 cents from our line on volume of 12% ave full day   ,1,18,87,wnc bounce day cent line volume ave full day,1,1
ZNGA is about to take off ! Watch out Shorts ;),1,11,47,znga take watch short,1,1
user: AMZN< beauty,1,3,18,user amzn beauty,0,1
"user: in AAP 420p at 8.78 stop if it breaks 453 again // out at 11.75.  Figure, I make the best trade of the year on aapl worst",0,28,127,user aap p stop break figure make best trade year aapl worst,0,0
"AAP Head and Shoulders pattern plays out, one for the textbooks  ",0,11,65,aap head shoulder pattern play one textbook,0,0
ANY still not done?,1,4,19,still done,0,1
OW a few cents away from PT 38.30. Dumping more of position here for great gains  ,1,16,82,cent away dumping position great gain,1,1
"VS breakout back-test right here, would be a good entry point for anyone interested in this name",1,17,96,breakout back test right would good entry point anyone interested name,1,1
"FIO: Considerable selling pressure due to AAP link (AAP & FB account for 50%+ of revs). AAP guided capex to 10B, +2B Y/Y. (1/2)",1,24,127,fio considerable selling pressure due aap link aap account rev aap guided capex b,0,0
AAP ong for Trade,1,4,17,aap ong trade,0,1
AAP The buy is on 430-440..,0,6,27,aap buy,1,1
AAP just remember knees AND toes come after head and shoulders,0,11,62,aap remember knee toe come head shoulder,0,1
Keep OSTK on your watchlist - breaking out from a huge cup w handle pattern.,1,15,76,keep ostk watchlist breaking huge cup handle pattern,1,0
BC from watch list triggered on Tuesday its move today 147% volume - above top B band - set stops   ,1,20,100,watch list triggered tuesday move today volume top band set stop,1,1
True that user: I think market is telling AAP not to let go mobile to #Android the way they lost lap/desk top to #windows. GOOG MSFT,1,26,132,true user think market telling aap let mobile android way lost lap desk top window goog msft,0,0
VMW short 97.01,0,3,15,vmw short,0,0
AMZN short 275.13,0,3,17,amzn short,0,1
DECK love this price action and all the people that made this call yesterday on this stream. GGS for wife for life,1,22,114,deck love price action people made call yesterday stream ggs wife life,1,1
CEN breaking out,1,3,16,cen breaking,1,0
"AXP coming off Catfish buy, extreme fractal buy and an orange dot buy ! and Chaos event PWmo2  ",1,18,95,axp coming catfish buy extreme fractal buy orange dot buy chaos event pwmo,1,0
AJ entry 18.35 stop 17.22  ,1,5,27,entry stop,0,0
"ed Weekly Triangle on PBY,....pdating,...more inform on:    ",1,7,60,weekly triangle pby pdating inform,0,1
"Si VFC cae bajo 145,53 , entrar cortos. Stop loss en 146,55 .",0,13,61,vfc cae bajo entrar cortos stop loss,0,0
"ong in BBBY after beating 159,07 . Stop loss in 59,74 ",1,11,54,ong bbby beating stop loss,1,1
user: You Are Here AAP   ,0,5,25,user aap,0,1
"ong-term bullish as anyone, but don't underestimate TSA's ability to print an ugly candle today. oves to sell off in the afternoon.",1,22,131,ong term bullish anyone underestimate tsa ability print ugly candle today oves sell afternoon,0,0
MSFT Thinking of buying this one for swing trade. VOME is huge today and breaking out above resistace.,1,18,102,msft thinking buying one swing trade vome huge today breaking resistace,1,1
"AAP 1,000 lot bid in the next weekly 470C at 5.30. 36 delta option, could create support with the stock or slight rally",1,23,119,aap lot bid next weekly c delta option could create support stock slight rally,1,1
No 1 is talking abt Demark's botched AAP call. Media always parade the hot hand so masses B under the illusion that experts know something,0,25,138,talking abt demark botched aap call medium always parade hot hand mass illusion expert know something,0,0
It's a racket out there and the media is on it else they would have taken every expert who had been pumping AAP all along to task today.,0,28,136,racket medium else would taken every expert pumping aap along task today,0,0
BAC Consolidation in progress... 33% Done... ;-),1,7,48,bac consolidation progress done,0,1
reports next Wed.  user: ATW: Barclays starts at Overweight,1,9,59,report next wed user atw barclays start overweight,1,0
MSFT nice breakout !!! earnings after close !!   ,1,8,49,msft nice breakout earnings close,1,1
Buying NFX 140 puts for tomorrow. 1.70 avg,0,8,42,buying nfx put tomorrow avg,0,1
AAP close- would like to see Williams back under 80 line - SI back under 30 last time gain huge   ,1,20,98,aap close would like see williams back line back last time gain huge,0,1
"My spot on y u wanted to avoid AAP pre-earnings w/ user yahoofinance. Starts at 2 min mark, posted yesterday.   ",0,20,112,spot wanted avoid aap pre earnings user yahoofinance start min mark posted yesterday,0,0
"adio spot w/ user today.  Talking IWM leadership, why new highs on SPY are likely, and of course, AAP.  ",1,19,104,adio spot user today talking iwm leadership new high spy likely course aap,1,1
FBHS - another #3WeeksTight. Tons of these out there right now  ,1,11,64,fbhs another weekstight ton right,0,1
"Since user blog, we've found many #3WeeksTight patterns: TMB, FBHS, EQIX. Find others with his screen  ",1,16,103,since user blog found many weekstight pattern tmb fbhs eqix find others screen,0,0
GS 140-142 feels about right to enter swing position.,1,9,53,feel right enter swing position,0,1
VXY Added 2nd tranche short  11.33 dead cat bounce done BA bull,0,12,63,vxy added nd tranche short dead cat bounce done bull,0,1
ACX Phase III statistically better than St of Care Morphine. 5Billion market. Conservative 10% of mkt at 1x sales = 10 stock. XV BBH,1,24,132,acx phase iii statistically better care morphine billion market conservative mkt sale stock bbh,1,1
AAP Added Some here !,1,5,21,aap added,1,1
GOOG 15 min dot alert subscibers have made out HGE on these signal!! OMG that it serious good  ,1,18,95,goog min dot alert subscibers made hge signal omg serious good,1,1
DAKT volume indicate coming explosion to the upside?  entry 11.72 stop 11.21  ,1,12,78,dakt volume indicate coming explosion upside entry stop,1,0
user: H broke support today and may drop out of the channel tomorrow... if it does watch out. Posted 1/23. Next 5.25 then 5.00,0,24,126,user broke support today may drop channel tomorrow watch posted next,0,0
X option trader appears to have put on 9k bearish put spreads in the Jul 20-13 puts against lower open interest in both strikes. Pos. hedge,0,26,139,option trader appears put bearish put spread jul put lower open interest strike po hedge,0,0
MSFT Breaking out of solid consolidation and accumulation. I've outlined 3 areas of strength in Microsoft  ,1,16,107,msft breaking solid consolidation accumulation outlined area strength microsoft,1,1
"EBAY ripping, nearing PT around 55.50ish",1,6,40,ebay ripping nearing around ish,1,1
I don't trade stocks but my system warns declining prices in AAP since sep 2012  ,0,15,81,trade stock system warns declining price aap since sep,0,0
H Closed below daily T.   ,0,5,26,closed daily,0,0
"AAP downgraded at Jefferies to hold from buy, Jefferies said. 500 price target  ",1,13,80,aap downgraded jefferies hold buy jefferies said price target,0,0
AAP Oppenheimer reduced price target to 600 from 800.  ,1,9,55,aap oppenheimer reduced price target,0,1
AAP BC Capital lowered price target to 600 from 725.  ,1,10,54,aap capital lowered price target,0,0
AAP  Hilliard yons give a buy rating in a note issued to investors on Thursday  ,1,15,80,aap hilliard yons give buy rating note issued investor thursday,1,1
nice!  - user: GID Working on a very nice Bullish Base.,1,11,55,nice user gid working nice bullish base,1,1
AAP Netflix Is Overpriced but Apple Is On Sale  ,1,9,48,aap netflix overpriced apple sale,0,0
"Watchist: VBD COX CSC COF All need confirmation, but if confirmed...!!",1,11,70,watchist vbd cox csc cof need confirmation confirmed,0,1
"AAP in a 12 hour short sale ban at present. Wonders never cease, much like the sentiment shift on stream here ",1,21,110,aap hour short sale ban present wonder never cease much like sentiment shift stream,0,0
NFX is going to the moon. Easiest long side trade for the long term.,1,14,68,nfx going moon easiest long side trade long term,1,1
Watch list stocks that triggered as new buys today included - WNC DGI NTI XAY IF HTA,1,17,84,watch list stock triggered new buy today included wnc dgi nti xay hta,0,1
MCP I seem to be the only joker gaming a position here amongst all you speculators!,1,16,83,mcp seem joker gaming position amongst speculator,0,0
AAP What the analysts are saying:  ,1,6,35,aap analyst saying,0,0
"AAP - Should see a bounce between 425 and current price over next few weeks, but  ultimately heading down to 400  ",0,21,114,aap see bounce current price next week ultimately heading,0,1
AAP down 60 and VXAP down 11. Good that VXAP is not tradable else many would have hedged their AAP shares by going long VXAP.,0,25,125,aap vxap good vxap tradable else many would hedged aap share going long vxap,0,1
DIS bearish to downside to 51.50,0,6,32,dis bearish downside,0,0
BBBY - bearish back to 57 easy from 58.99 or any higher,0,12,55,bbby bearish back easy higher,0,0
IBT - volume lower than today and red brings this back to 21.50 from 23.06 or higher,0,17,84,ibt volume lower today red brings back higher,0,1
TPX - easy short on next move higher to 50 - just like IMM wait for surge then 3 - 15 minute red bars with volume and short away,0,29,128,tpx easy short next move higher like imm wait surge minute red bar volume short away,0,1
APO - eversal confirmed with increasing volume.   ,1,7,50,apo eversal confirmed increasing volume,1,1
VVTV bought this long for wealth position overnight from 1.80 to 1.90 during XMAS as it was same column as eBay on finviz selling now 2.70,0,26,138,vvtv bought long wealth position overnight xmas column ebay finviz selling,1,1
VNG been sleeping for too long now predict about to wake up with big volume surge as catalyst higher levels 4.50 shot from here - 20MM day,1,27,138,vng sleeping long predict wake big volume surge catalyst higher level shot mm day,1,1
AMD bailed out at 2.70 dropped under 2.50 thought good but may rebuy in now as going to 3 with catalyst confirmation by end 2013 - 6.00,1,27,135,amd bailed dropped thought good may rebuy going catalyst confirmation end,0,0
"KBH is my trade for tomorrow as long my conditions are met I will SHOT at 18.24 ,18.21,18.17,18.14,18.09 18.04 and cover 17.20,17.10",0,22,132,kbh trade tomorrow long condition met shot cover,0,1
APA Back over 83.55  ,1,4,21,apa back,0,1
ANAD Over 2.54 or 2.70 - we like these two level set ups   ,1,13,59,anad like two level set ups,1,1
"THO will enter on confirmation tomorrow, looking great (no pos, yet)  ",1,11,70,tho enter confirmation tomorrow looking great po yet,0,1
GTAT closed above its 50SMA. MACD continues to trend higher near to cross above 0.  ,1,15,84,gtat closed sma macd continues trend higher near cross,1,1
"AAP Why so hard to comprehend? Classic pump & dump asset bubble after Jobs died, one last pay out (parabolic 700). Back to normal stock",0,25,135,aap hard comprehend classic pump dump asset bubble job died one last pay parabolic back normal stock,0,0
user brain fart in earlier post. Meant ZAGG not DECK. AAP buying DDD & distrib designs via iTunes #FTW B great 4 ADSK too ,1,24,122,user brain fart earlier post meant zagg deck aap buying ddd distrib design via itunes ftw great adsk,1,1
"KCG, i wonder who keeps painting the tape with these few hundred share lots in the AM? ast few times we rip during the day~",1,25,123,kcg wonder keep painting tape hundred share lot ast time rip day,0,0
AMN  Penny stock alert! This thing will be worth cents before the end of the year.,0,16,82,amn penny stock alert thing worth cent end year,0,0
"MCP When I look at the volume v price, most of the transactions were around 7 this morning = line the sand for now",1,24,114,mcp look volume price transaction around morning line sand,0,1
OVI on watch list has volume of 10% of ave full day - over line a little  ,1,17,74,ovi watch list volume ave full day line little,0,1
ANAD on watch list over 1st line with volume of 17% ave full day   ,1,14,67,anad watch list st line volume ave full day,0,1
FBN on watch list over 1st lien but under the 200-day EMA with volume of 19% ave full day   ,1,19,92,fbn watch list st lien day ema volume ave full day,0,1
WPI - whoopie changed its name to Actavis ACT - sounds like a bowel health yogurt or an OWS protester - we are still short,0,25,122,wpi whoopie changed name actavis act sound like bowel health yogurt ows protester still short,0,0
a 4-6 point pullback would be reasonable after a move like that. nflx,1,13,69,point pullback would reasonable move like nflx,0,1
TIBX getting some love today...gap fill around 25  ,1,8,51,tibx getting love today gap fill around,1,1
15/16 stocks on Watchlist higher- Hope ur listenin  F KBH GPX SSQ SBX CSOD HD CHK EBAY TEX I ITG ,1,20,97,stock watchlist higher hope listenin kbh gpx ssq sbx csod chk ebay tex itg,1,1
no follow thru on NKD out for a 60c profit  oh well,1,12,51,follow thru nkd c profit well,0,1
CS looking to make a move over 29 looking gd. I don't trade into earnings but to do after :) down from 31 just last wk. & off b/c AAP,1,30,133,looking make move looking trade earnings last aap,0,1
user come over to the CS train left the station can jump on in at 29 stop after that moving onto to 29.21,1,23,105,user come train left station jump stop moving onto,0,0
"MCP testing highs, stops getting hit~ ",1,6,38,mcp testing high stop getting hit,1,0
PCN any close above 680 is bullish today. I love the VOME. If the big boy want it I want it too.,1,22,96,pcn close bullish today love vome big boy want want,1,1
39.50 on HA is a big intraday level to play off today,1,12,53,big intraday level play today,0,1
AAP Go baby go!!  425-440,0,5,25,aap baby,1,1
"Nice deals of the day CHY 4.5 mil shares secondary priced O/N 25 now at HOD 27.19, MCP trainwreck also priced 37.5 mil shares 6 now 7.34",1,27,136,nice deal day chy mil share secondary priced hod mcp trainwreck also priced mil share,1,1
AMZN is another free money trade for today. We will see where it lands today at the close.,1,18,90,amzn another free money trade today see land today close,0,1
AAP trader keeps reloading selling in 250 lots in the Feb 445P. -49 delta option could create support or push stock up temp,1,23,123,aap trader keep reloading selling lot feb p delta option could create support push stock temp,0,1
GTAT Holding 50SMA. ooks like the stock could try and take a trip to 3.62 if volume comes in.  ,1,19,95,gtat holding sma ooks like stock could try take trip volume come,0,1
AAP doji being put in on 60 min after 7 down candles,1,12,52,aap doji put min candle,0,1
AAP should buy a gold miner at this point and just drill the earth with their cash hoard.  'Be evil' campaign...mix it up,1,23,121,aap buy gold miner point drill earth cash hoard evil campaign mix,0,0
CS is looking gd at HOD only 11:30am next station we pull up too 30 then my end PT is 200day magnet to 31.84 still about 2pts away,1,28,130,looking hod next station pull end day magnet still pt away,1,0
GMC looks good filling gap up to 50,1,8,35,gmc look good filling gap,1,1
This market is rollling over folks Study 8/10 days green? With momo stocks leading this market lower AAP VXX,0,19,108,market rollling folk study day green momo stock leading market lower aap vxx,0,1
user: GMC looks like the free money trade for today. Headed to 49+ - so far so good,1,18,83,user gmc look like free money trade today headed far good,1,1
ooking at FB and CST for longs next wk,1,9,38,ooking cst longs next,0,1
Took off my final DDD piece at 70.6 long from 35.2 +100%,1,12,56,took final ddd piece long,1,0
i dont have a tech friend in world that owns the stock ...thats why user: PCN No one Believes anymore :   ,1,21,106,dont tech friend world owns stock thats user pcn one belief anymore,0,0
Why would you buy AAP when you can buy CS where the growth is... As AAP sells ipads and Iphones like crazy CS benefits,1,24,118,would buy aap buy growth aap sell ipads iphones like crazy benefit,0,1
user NKD the next NFX ???,1,6,25,user nkd next nfx,0,1
AAP By By 440!! next 425,0,6,24,aap next,0,1
user: CS still getting squeezed lol agreed for another 2 pts,1,11,60,user still getting squeezed lol agreed another pt,0,0
"gap filled, time for aapl to wake up.",1,8,37,gap filled time aapl wake,0,0
AAP I told you!!,0,4,16,aap told,0,1
Anybody else hearing about one of the large credit card payment processing firms being down (unable to process payments)? MA V AXP,0,22,130,anybody else hearing one large credit card payment processing firm unable process payment axp,0,0
AAP weekly SI finally back under 30 - 1st time since autumn 2008 by lower trend line- Williams 80  ,1,19,99,aap weekly finally back st time since autumn lower trend line williams,0,1
ANAD looking to break out over 2.70,1,7,35,anad looking break,1,0
My pal has me all jazzed about TSA which I just bought for first time ... user better be right. user nailed this and my axe on it,1,28,129,pal jazzed tsa bought first time user better right user nailed axe,1,1
AAP Bull Trap Here,0,4,18,aap bull trap,0,0
FAVED... user: AAP It must be close to the bottom because I'm making money on the short side.,1,18,93,faved user aap must close bottom making money short side,0,0
SH Enfuego...maybe Icahn long  ,1,4,31,enfuego maybe icahn long,0,1
AAP Ouch !!!!,0,3,13,aap ouch,0,0
GS got some 145C march options today. Will leave them probably till expiration.,1,13,79,got c march option today leave probably till expiration,0,1
SWI was a beaut,1,4,15,swi beaut,1,1
Next time you see a free money trade free tweet then ignore at your own risk ;) AMZN GMC,1,19,88,next time see free money trade free tweet ignore risk amzn gmc,0,1
AAP has a herculean task ahead at 465,0,8,37,aap herculean task ahead,0,1
Is it the doomsday for AAP?,0,6,27,doomsday aap,0,0
AAP Hmmm ower on Volume.... Will see...,0,7,39,aap hmmm ower volume see,0,1
AAP Ouffffff,0,2,12,aap ouffffff,0,1
AAP we are long 445 and mostly thru call ratio back spreads 2 to 1 ratio 460/440,1,17,80,aap long mostly thru call ratio back spread ratio,1,1
user zeno123 AN of course looking at intra-day is irrelevant for swing trading. no sign revrs  ,0,16,95,user zeno course looking intra day irrelevant swing trading sign revrs,0,0
some listened to my BIG signal on NVDA this morning and are shocked how fast that money was !  ,1,19,95,listened big signal nvda morning shocked fast money,1,1
AAP sharing a few thoughts Have a great weekend. POSTED VIDEO   ,0,11,64,aap sharing thought great weekend posted video,0,1
VNG - taking an overnight position for few days 3.30 - looks prime - someone accumulating some here - for something,1,21,115,vng taking overnight position day look prime someone accumulating something,0,1
"CEN hitting resistance near 84 again today, IMO, when it breaks it, will be a big run to new highs  ",1,20,100,cen hitting resistance near today imo break big run new high,1,1
SCHW - new 52 week hi & looking to close on hi - like it - we will buy more,1,20,75,schw new week looking close like buy,1,1
"CSN Good luck to everyone holding long, cancer patients need this more than we do!",1,15,82,csn good luck everyone holding long cancer patient need,0,1
AET DVA nice job shaking off the hate and closing with bullish doji candles for the day,1,17,87,aet dva nice job shaking hate closing bullish doji candle day,1,1
"AAP failed to get a candle close over the 50% retrace on the day. inverse abcd, imo   ",0,17,86,aap failed get candle close retrace day inverse abcd imo,0,0
AAP is dead. No 2 ways about it.,0,8,32,aap dead way,0,0
"Netflix had a great year this week, up 71%. Wow. NFX",1,11,52,netflix great year week wow nfx,1,1
Glad that the easy money trade is over. Every joker thought that making money in the market is synonym with getting long AAP,0,23,124,glad easy money trade every joker thought making money market synonym getting long aap,0,1
CAT ooking for miss.  Gap fill to 89,0,8,36,cat ooking miss gap fill,0,0
INVN nice follow through day with great volume again.,1,9,53,invn nice follow day great volume,1,1
Some breakouts today: AGCO CAM F GMC HA JEC KAC MCS MOS NKE OSK PG TEX TMO TOO,1,18,78,breakout today agco cam gmc jec kac mc mo nke osk tex tmo,0,0
Don't shoot the mailman Point & Figure target AAP NDX QQQ Sorry #APPE Heads  ,0,14,77,shoot mailman point figure target aap ndx qqq sorry appe head,0,0
The phase irrational exuberance comes to mind when thinking about the absurd valuations of these companies AMZN CM AX NFX DDD NKD,0,22,129,phase irrational exuberance come mind thinking absurd valuation company amzn nfx ddd nkd,0,0
ADNC Now that the gap is filled...  Other set ups I like: MCP CHK WCG APO   ,1,16,76,adnc gap filled set ups like mcp chk wcg apo,0,0
coh - no  ,0,3,10,coh,0,1
ZMZ - this looks like a big power move to 24 - doing more research on it now see short intetest,1,21,95,zmz look like big power move research see short intetest,0,1
SEM see this going down.,0,5,24,sem see going,0,1
user: AAP next stop is 435 - low for today was 435. This stock may be dead but follows technicals to a tee,0,23,106,user aap next stop low today stock may dead follows technical tee,0,0
AF:  As noted - Clear buyable action on Tues. Close +3.9% for the first week. Support now near 51. MOE HEE  ,1,21,108,noted clear buyable action tues close first week support near moe hee,1,1
CAM - Closes the week strong after a decent first day action +1.5% coupled with an increase in volume. MOE HEE  ,1,21,112,cam close week strong decent first day action coupled increase volume moe hee,1,1
QGC seems to be finding long term range between 18.50 - 8.50 - This should be more of a position trade where you can accumulate lower,1,26,133,qgc seems finding long term range position trade accumulate lower,0,0
user I thought FIO is pure FB play (flash) what do u know that analyst don't FB maybe losing the youth but the kiddies OVE Instagram,1,26,132,user thought fio pure play flash know analyst maybe losing youth kiddy ove instagram,0,0
HP after 7 straight green days that little red bar is signal to switch tracks to red for some normal profit taking,0,22,114,straight green day little red bar signal switch track red normal profit taking,0,1
CBOE the decreasing volume that slight red bar indicates after 19 straight up days it's time to switch to red bars and take some profits,0,25,136,cboe decreasing volume slight red bar indicates straight day time switch red bar take profit,0,0
HES decrease volume now and a red bar will send this back to 57 - 2 points to be made more if goes higher - patience and wait,0,28,125,decrease volume red bar send back point made go higher patience wait,0,1
HA this gets one red bar size will ruin from Jan to now in 2 days target 46 - 4 points or more to made if goes higher wait for first red,0,32,136,get one red bar size ruin jan day target point made go higher wait first red,0,0
INVN - any panic surge higher start short entries and save  for red bar risky but timing top on next move is good scaling start for short,0,27,137,invn panic surge higher start short entry save red bar risky timing top next move good scaling start short,0,1
INVN keep close eye on this one for surge up from short bagholders - may take 2 days first red bar finish is top big short score to be made,0,30,139,invn keep close eye one surge short bagholders may take day first red bar finish top big short score made,0,1
YHOO esting here after a nice move since November.  Watching for a break of 20.85 after earnings  ,1,17,98,yhoo esting nice move since november watching break earnings,0,1
GPN Inverted Head and Shoulders still in play !!   ,1,9,51,gpn inverted head shoulder still play,0,1
"JPM broke out an important resistance at 46,87 with solid volume. The trend is in favour of Bulls  ",1,18,99,jpm broke important resistance solid volume trend favour bull,1,1
GIS - this is what all the others will do - first red bar major short!!! target 40 test,0,19,87,gi others first red bar major short target test,0,1
DA volume decreasing looking for start of the red bar sequence,0,11,62,volume decreasing looking start red bar sequence,0,0
GPN could test the 5.50 quick and make major move higher above 6.00 very bullish,1,15,80,gpn could test quick make major move higher bullish,1,1
DSCO many little bios did well last week - DSCO will have a huge day soon - it's in the history,1,21,95,dsco many little bios well last week dsco huge day soon history,1,1
CYCC - have this one at 5.25 and 5.50 buying more 5.90 for b/out thru 6 - can go 7 easy - very small float 7 million and 18% short,1,30,130,cycc one buying thru easy small float million short,1,1
GMC that gap 30-35 puts the weakest floor on this stock wouldn't be surprised to see it spill over and BN!! everyone hot red coffee bars,0,26,136,gmc gap put weakest floor stock surprised see spill everyone hot red coffee bar,0,0
"MCP either way, it's just 2 candles and back to 8. Next week will set the tone which way overall investor sentiment wants to take this",1,26,134,mcp either way candle back next week set tone way overall investor sentiment want take,0,1
ZQK first sign of decreasing volume and 3 (15) minute red bars with catalyst volume - short this back to 5.00 easy,0,22,114,zqk first sign decreasing volume minute red bar catalyst volume short back easy,0,0
Super shot - user: Please help me get this viral. I mean what a putt under pressure  GOOG,1,18,89,super shot user please help get viral mean putt pressure goog,0,1
SAM nothing holding up the mountain that green bar eft shoulder that red bar head (smallone - lol) we see red right bar start major short,0,26,137,sam nothing holding mountain green bar eft shoulder red bar head smallone lol see red right bar start major short,0,1
"user I looks like it's getting ready for beast mode. ook at insider buying. Nice pick. I will be partaking, I think. Time2research.",1,23,131,user look like getting ready beast mode ook insider buying nice pick partaking think timeresearch,1,1
user ots of good setups posted here 3 weeks ago: EQIX EXPE FB GS HOG MON PII QCOM QIH SODA,1,20,90,user ots good setup posted week ago eqix expe hog mon pii qcom qih soda,0,1
"AAP , want to buy more around 350",0,8,33,aap want buy around,0,1
P see what happened from October to Dec that slide - well it going to happen again on this historic rise wait for the red then start shorts,0,28,139,see happened october dec slide well going happen historic rise wait red start short,0,1
VMI nice head and shoulders forming just need the left shoulder now and we see this go retest 140 to 138 range,0,22,110,vmi nice head shoulder forming need left shoulder see retest range,0,1
user ABV INFN CBS - look great for shorts thanks,0,10,48,user abv infn cbs look great short thanks,0,1
AAP weekly says that 350 is where there is some modicum of support. The game was over long time back.,0,20,101,aap weekly say modicum support game long time back,0,0
Think GMC is the next mini NFX in the making. Earnings are around the corner. Needs watching how it behaves going into it?,1,23,122,think gmc next mini nfx making earnings around corner need watching behaves going,0,1
"What would I pay for Gmail.... 1,000 year, 2,000 ? I mean how do you value something so extraordinary ... goog",1,21,110,would pay gmail year mean value something extraordinary goog,0,1
VHC has formed a symmetrical triangle. Breakout point is 35.5. MACD is bullish and SI is above 60  ,1,18,99,vhc formed symmetrical triangle breakout point macd bullish,1,1
WNC consistent pattern of new highs and sell offs - next one looks like the selloff,0,16,83,wnc consistent pattern new high sell offs next one look like selloff,0,0
AIA - decent pattern be patient for move above 21 will run to 23,1,14,64,aia decent pattern patient move run,1,1
CTIC MYX - keeping close eye on both for volume surges up - don't miss the boat will go fast,1,20,92,ctic myx keeping close eye volume surge miss boat fast,1,0
OS time start uptrend to fill upside gap break above 7.50 yields least .50 cent and test to 7.50 = .50 more from here = 1.00 - like it!,1,29,135,time start uptrend fill upside gap break yield least cent test like,1,1
OS stock very close to magic number 7 and holding see stabilization over 7.00 it will retest 7.50 break point - really like this one,1,25,132,stock close magic number holding see stabilization retest break point really like one,1,1
KBH tried short on Friday 18.25 tested 18 then came back 18.25 then 18.55 when comes back 18.33 I'll short attempt #2 break 18 target 16.50,0,26,139,kbh tried short friday tested came back come back short attempt break target,0,0
user That IFE is going to turn like that TPX just did - if TPX continues red - similar pattern,0,20,94,user ife going turn like tpx tpx continues red similar pattern,0,1
CST looks kind of interesting. Needs more volume. A lot more.   ,1,11,64,cst look kind interesting need volume lot,0,1
YHOO setting up for it's new 2013 range 22- 30 - move starts this week,1,15,70,yhoo setting new range move start week,1,1
NKD nov and dec had disease now its the cure - not a believer - shorting,0,16,72,nkd nov dec disease cure believer shorting,0,0
HOT - Fundamentals off. More of technical play. More here ->  ,1,11,62,hot fundamental technical play,0,1
HFC - Great group. ooks good. More here ->  ,1,9,44,hfc great group ooks good,1,1
STZ - Strong breakout then drifted a bit lower. Good action on Friday. More here ->  ,1,16,85,stz strong breakout drifted bit lower good action friday,0,1
WFC - Nothing. Still watching for a buy signal. More here ->  ,1,12,62,wfc nothing still watching buy signal,0,0
WAC - Down to near the 50 DMA. Great group.  More here ->  ,1,13,59,wac near dma great group,0,1
Has anyone shorted ONP?,0,4,23,anyone shorted onp,0,0
CM should be a good SWING trade on move above 175 with VOME.,1,13,60,good swing trade move vome,0,1
ecent breakouts in DNKN GMC SBX appear to be the start of a group move. Still forming big cup bases. JVA also on watch.,1,24,119,ecent breakout dnkn gmc sbx appear start group move still forming big cup base jva also watch,0,1
INVN huge accumulation with no selling since July low. Starting to form right side of deep long consolidation pattern. On watch.,1,21,128,invn huge accumulation selling since july low starting form right side deep long consolidation pattern watch,0,1
N setting up beautifully   ,1,4,27,setting beautifully,1,1
AO ong Setup (ising 3-methods Candle Pattern):   ,1,7,49,ong setup ising method candle pattern,0,1
CAT worth eyeing today - could see breaking back above 100+ soon   ,1,12,67,cat worth eyeing today could see breaking back soon,1,1
"JOSB just hitting its 50/50 risk profile on quant macro view, 29.50-33.50 marks model base with oscillation zone, still room below ",0,21,131,josb hitting risk profile quant macro view mark model base oscillation zone still room,0,1
JOSB outlier risk profile closer to 24 so will be interesting to see what happens as folks exit options they've written ,0,21,120,josb outlier risk profile closer interesting see happens folk exit option written,0,1
SPX COMPQ IND CAT AAP Wall Street futures were unchanged with the results of Caterpillar and the threat of Fitch  ,1,20,114,spx compq ind cat aap wall street future unchanged result caterpillar threat fitch,0,0
"If u believe AAP was dropping clues pre-earnings, then user says you should be watching FB now  ",1,17,96,believe aap dropping clue pre earnings user say watching,0,1
"user: CAT Sorry, this e/r is NOT good and I'm not saying just because I have puts.  Nice wide guidance kitty cat.",0,22,113,user cat sorry good saying put nice wide guidance kitty cat,0,1
GGC from watch list with a gap open and volume already 35% of ave full day   ,1,16,77,ggc watch list gap open volume already ave full day,0,1
DDD NICE buying opp on dip back - re-entry i had been waiting for,1,14,65,ddd nice buying opp dip back entry waiting,1,1
AN 20% short float. may be a runner today  ,1,9,43,short float may runner today,1,1
"BAC rolling over, could see 11.02 again. Bulls have to wait for a better setup here",0,16,83,bac rolling could see bull wait better setup,0,1
Take Profits & Tighten stops. SA indicating major correction looms.  OCN NSM EGN BID GMC FB NKD,0,17,95,take profit tighten stop indicating major correction loom ocn nsm egn bid gmc nkd,0,0
Added DT on break of 41.31,1,6,26,added break,1,1
keep an eye on SBX for possible intraday bottom at support on the daily. ike stock if it can hold  ,1,20,99,keep eye sbx possible intraday bottom support daily ike stock hold,0,1
eading Stocks lagging ES_F much worse then usual for this rally. DDD SSYS SODA QIH Y PX KOS FT INVN  ,0,20,101,eading stock lagging much worse usual rally ddd ssys soda qih ko invn,0,0
AAP we are back baby...largest company in the world.  dousing myself in oil to celebrate and booking fridays daytrade,1,19,117,aap back baby largest company world dousing oil celebrate booking friday daytrade,0,1
DDD - setting up an awesome looking bear flag....  ,0,9,51,ddd setting awesome looking bear flag,0,1
